region,country,topic,name,url,language,source_type,perspective,channel,platform,is_dataset,accuracy,uniqueness,timeliness,transparency,verifiability,accessibility,depth,composite,notes
Global,Global,Economic,CEPII Network Trade Dataset,https://www.cepii.fr/cepii/en/bdd_modele/bdd_modele_item.asp?id=27,EN,Global trade network dataset,Academic,Website,Network,yes,5,5,3,5,5,5,4,4.6,Ready-to-use World Trade Network dataset in CSV and Stata formats. Nodes are countries; directed weighted edges are bilateral import/export flows. Includes network-analysis-oriented variables and topology. [220]
Global,Global,Economic,UN Comtrade Bilateral Trade Network,https://comtradeplus.un.org,EN,Global merchandise trade dataset,International official,Website,Network,yes,5,5,4,5,5,5,3,4.6,"Network-ready bilateral merchandise trade data. Nodes are reporting and partner economies; directed weighted edges are trade value or quantity, optionally disaggregated by HS/SITC commodity, year, transport mode, and trade flow."
Global,Global,Economic,CEPII BACI,https://www.cepii.fr/CEPII/en/bdd_modele/presentation.asp?id=37,EN,Harmonized bilateral trade network dataset,Academic,Website,Network,yes,5,5,3,5,5,5,4,4.6,Research-grade reconciled bilateral trade network derived from UN Comtrade. Nodes are countries; weighted directed edges are harmonized product-level exports. Better suited than raw Comtrade for comparative trade-network modeling.
Global,Global,Economic,UNCTAD-Eora Global Value Chain Database,https://worldmrio.com,EN,Global input-output network dataset,Academic,Website,Network,yes,5,5,3,5,5,3,5,4.4,"Multi-region input-output network linking country-sector nodes through intermediate and final-demand flows. Use for supply-chain exposure, dependency, value-added trade, sanctions spillovers, and geoeconomic network analysis; access conditions vary."
Global,Global,Economic,OECD Inter-Country Input-Output Tables ICIO,https://www.oecd.org/sti/ind/inter-country-input-output-tables.htm,EN,Global value-chain network dataset,International official,Website,Network,yes,5,5,3,5,5,5,5,4.6,"Country-sector input-output network for global value chains. Nodes are country-industry sectors; directed weighted links are intermediate inputs, final demand, value added, and production dependencies."
Global,Global,Economic,Asian Development Bank Multi-Regional Input-Output Database,https://kidb.adb.org/mrio,EN,Asia-centered global value-chain dataset,International official,Website,Network,yes,5,5,3,5,5,5,5,4.6,"Multi-regional input-output network with strong Asian coverage. Useful for country-sector supply-chain dependence, production exposure, trade shocks, industrial policy, and regional economic networks."
Global,Global,Economic,World Input-Output Database WIOD,https://www.rug.nl/ggdc/valuechain/wiod,EN,Global value-chain network dataset,Academic,Website,Network,yes,5,5,2,5,5,5,5,4.4,"Historical world input-output tables linking country-sector nodes through production, intermediate goods, final demand, labor, capital, emissions, and value-added flows."
Global,Global,Economic,International Monetary Fund Direction of Trade Statistics DOTS,https://data.imf.org,EN,Global bilateral trade network dataset,International official,Website,Network,yes,5,5,4,5,5,4,2,4.4,"Bilateral country trade network with directed weighted import/export edges. Useful for macro-level dependency, trade concentration, sanctions, supply-chain, and geopolitical bloc analysis."
Global,Global,Economic,World Bank Global Bilateral Migration Database,https://www.worldbank.org/en/topic/migrationremittancesdiasporaissues/brief/migration-remittances-data,EN,Global migration network dataset,International official,Website,Network,yes,5,5,2,5,5,5,3,4.3,"Bilateral migrant-stock network. Nodes are origin and destination countries; directed weighted edges represent migrant stocks by origin, destination, sex, age, and historical period where available."
Global,Global,Economic,UN DESA International Migrant Stock,https://www.un.org/development/desa/pd/content/international-migrant-stock,EN,Global migration network dataset,International official,Website,Network,yes,5,5,2,5,5,5,3,4.3,"Global origin-destination migration-stock matrix. Build directed weighted networks by migrant origin, destination, age, sex, and time period; periodic rather than real-time."
Global,Global,Economic,Global Bilateral Migration Database Özden et al.,https://www.worldbank.org/en/topic/migrationremittancesdiasporaissues/brief/migration-remittances-data,EN,Historical migration network dataset,Academic,Website,Network,yes,5,5,1,5,5,5,4,4.3,"Long-run bilateral migration matrix suitable for historical network analysis of diaspora, migration systems, colonial legacies, regional blocs, and demographic ties."
Global,Global,Economic,World Bank Bilateral Remittance Matrix,https://www.worldbank.org/en/topic/migrationremittancesdiasporaissues/brief/migration-remittances-data,EN,Global remittance network dataset,International official,Website,Network,yes,4,5,3,5,5,5,3,4.3,Estimated country-to-country remittance network. Nodes are origin and destination economies; directed weighted edges are remittance flows. Model-based estimates should be treated as approximations.
Global,Global,Economic,UNCTAD Bilateral FDI Statistics,https://unctadstat.unctad.org,EN,Global foreign-investment network dataset,International official,Website,Network,yes,5,5,3,5,5,5,3,4.4,"Bilateral foreign direct investment network. Nodes are investor and host economies; directed weighted edges are inward/outward FDI stocks and flows, allowing analysis of investment hubs and offshore pathways."
Global,Global,Economic,IMF Coordinated Direct Investment Survey CDIS,https://data.imf.org,EN,Global FDI network dataset,International official,Website,Network,yes,5,5,3,5,5,4,3,4.3,Official bilateral direct-investment position network. Nodes are reporting and counterpart economies; weighted directed edges record direct investment assets and liabilities.
Global,Global,Economic,IMF Coordinated Portfolio Investment Survey CPIS,https://data.imf.org,EN,Global portfolio investment network dataset,International official,Website,Network,yes,5,5,3,5,5,4,3,4.3,"Official portfolio investment network covering cross-border debt and equity holdings. Useful for financial contagion, exposure, offshore centers, sanctions, and systemic-risk studies."
Global,Global,Economic,Bank for International Settlements Locational Banking Statistics,https://www.bis.org/statistics/bankstats.htm,EN,Global banking exposure network dataset,International official,Website,Network,yes,5,5,4,5,5,4,3,4.3,"Cross-border banking network. Nodes are reporting banking systems and counterpart countries; directed weighted edges represent international claims, liabilities, currencies, sectors, and maturity exposures."
Global,Global,Economic,Bank for International Settlements Consolidated Banking Statistics,https://www.bis.org/statistics/consstats.htm,EN,Global banking exposure network dataset,International official,Website,Network,yes,5,5,4,5,5,4,4,4.4,"Banking-system exposure network showing ultimate-risk and immediate-borrower country relationships. Useful for financial contagion, sovereign exposure, sanctions risk, and geopolitical financial dependencies."
Global,Global,Economic,OpenSanctions,https://www.opensanctions.org,EN,Global sanctions and entity graph,Independent,Website,Network,yes,4,5,5,5,5,5,4,4.7,"Entity-resolution dataset linking persons, companies, vessels, organizations, sanctions lists, politically exposed persons, ownership, control, family, affiliation, and identifiers. Requires entity-resolution validation before analytic use."
Global,Global,Economic,Open Ownership Register,https://register.openownership.org,EN,Global beneficial-ownership network dataset,Independent,Website,Network,yes,4,5,4,5,5,5,4,4.6,Beneficial ownership and company-control network data from participating jurisdictions. Nodes are companies and persons; edges represent beneficial ownership or control. Coverage is jurisdiction-specific and incomplete.
Global,Global,Economic,OpenCorporates,https://opencorporates.com,EN,Global corporate network dataset,Independent,Website,Network,yes,4,5,5,4,4,5,3,4.3,Global corporate-register aggregation. Build company-officer-jurisdiction networks from legal-entity records; verify registry provenance and completeness by jurisdiction.
